comentario_esp,mp_tag,calidad,facilidad,materia,calif_Obtenida,fecha
Muy buen ingeniero explica muy bien sus clases aunque se puede mejorar más,BUENO,8.0,6.0,Hidráulica,9.0,12/Abr/2014
Maestro que se preocupa por el alumno y sus clases son muy buenas en verdad,BUENO,10.0,6.0,Hidraulica,9.5,12/Abr/2014
Aparte de dar una buena clase se preocupa mas por el alumno que por dar su clase excelente aspecto ,BUENO,9.0,8.0,Hidraulica,10.0,12/Abr/2014
excelente maestro,BUENO,9.0,6.0,Recursos Hidraulicos,9.5,11/Abr/2014
Excelente maestro,BUENO,10.0,6.0,Hidraulica,10.0,11/Abr/2014
El mejor maestro de la Facultad,BUENO,10.0,8.0,hidráulica,10.0,30/Oct/2013
Es muy buen ingeniero realiza las clases muy dinámicas y trata de ponernos cosas que veremos a la hora de ejercer nuestra carrera profesional,BUENO,9.0,6.0,Ingenieria de los recursos hidráulicos,9.0,02/Mar/2013
es un excelente maestro sus comentarios yo consejos son muy acertados sus clases son muy dinamicas e interesantes motiva mucho a sus alumnos,BUENO,10.0,8.0,hidraulica,9.0,02/Mar/2013
Muy buen profesor e ingeniero y se apega a las necesidades de los estudiantes cosa que casi nadie hace gracias por hacer eso,BUENO,10.0,6.0,Rec. Hid,9.5,02/Mar/2013
Muy buen maestro siempre buscando la manera de apoyar tanto al alumno como al grupo entero,BUENO,10.0,6.0,"Recursos Hidráulicos, Hidráulica",9.5,25/Sep/2012
"Muy buen maestro practico
Solo le falta ir un poco más despacio en clase",BUENO,9.0,8.0,Hidráulica,9.0,24/Sep/2012
Es buen maestro solo que aveces no deja en claro algunas cosas pero también muy accesible si necesitas ayuda con la materia en horas fuera de clase,BUENO,7.0,6.0,Recursos Hidraulicos,8.0,24/Sep/2012
Es una persona que tiene mucho interés en la superación del alumno lo e notado ya que hace que nos involucremos más en nuestra carrera además sus clases las hace ver interesantes y agradables solo que algunas veces siento que no tiene una gran claridad con respecto a la elaboración de problemas,BUENO,7.0,4.0,hidráulica,9.0,23/Sep/2012
Buen maestro apoya mucho al alumno,BUENO,10.0,6.0,Hidraulica,10.0,22/Sep/2012
Su carácter deja mucho que desear,BUENO,7.0,2.0,Derecho Mercantil,8.5,30/Ago/2019
Muy buena maestra la verdad,BUENO,10.0,10.0,Derecho Civil,7.5,24/Oct/2017
Buena maestra solo haces 5 tareas dos exposiciones y 3 exámenes muy sencillos No es difícil pasar con ella,BUENO,10.0,10.0,Contexto Social de la Profesión,9.5,25/Nov/2018
Excelente Maestra Clases muy dinámicas,BUENO,10.0,10.0,ATI,9.5,14/Nov/2017
EL MEJOR PROFESOR SIN DUDAEXCELENTE PERSONA Y GRACIAS A EL SEGUI ADELANTE CON SU CONSEJO DE ESTUDIAR LEYESYA QUE EL ES UN EXCELENTE ABOGADO  ,BUENO,10.0,10.0,ORIENTACION,10.0,16/Oct/2010
"varias veces me bajo puntos por platicar y me dio clases 3 semestres de la prepaa La verdad fue padrisiimo0 conocerlo
y sus clases eran lo mejor Se convirtio en una especie de espacio para platicar de todo un poco soretodo de nuestro futuro academico profesional y hasta emocional Sin mencionar que tenia un excelnete sentido del humor al dar clase sin quitar la seriedad que conllebava tal materia De mis profes favoritosyo le doy un diez y lo extrañatre mucho ",BUENO,10.0,10.0,orientacion,10.0,30/Jul/2008
muy buen profe accesible y buena onda,BUENO,7.0,10.0,orientacion,9.0,25/Jul/2008
ES otro muy buen profesor es super accesible con toddos sus alumnos Como todos le molesta que cuando habla el o uno de nosotros no le pongamos atencion y simpre nos da avisos antes de un castigo Es muy especial pero muy buena ondaEXELENTA PROFESOR,BUENO,9.0,10.0,fILOSOFIA Y ORIENTACION,9.5,25/Jul/2008
es una corrupta que no te escucha y no recibe a nadie en comunicacion es la mas incomunicada,MALO,2.0,10.0,relaciones publicas,0.5,27/Jul/2011
Es súper buena onda y siempre te alienta a participar Muy buena maestra y le agarras confianza muy rápido,BUENO,10.0,6.0,Relaciones Internacionales,9.0,23/Ene/2021
Grosero y mamon,MALO,3.0,4.0,",",21.0,12/Dic/2022
Muy grosero,REGULAR,6.0,6.0,.,6.0,12/Dic/2022
Favoritismo de estudiantes,MALO,2.0,2.0,Comercio Exterior,8.0,31/Ago/2022
Bien mamón y prepotente,MALO,2.0,2.0,Derecho del comercio exterior,7.5,17/Feb/2022
el peor profesor,REGULAR,4.0,2.0,Derecho fiscal,9.0,27/Jun/2019
Demasiado apasionado por su materia en el buen sentido Excelencia académica desbordante Inspirador con sentido de ambición So sexy,BUENO,10.0,10.0,Aduanero,9.5,22/Sep/2017
Muy buen maestro sabe mucho sobre la materia te recomiendo leer dos autores y participar mucho en clase además de estar guapísimo,BUENO,9.0,10.0,Derecho Romano,9.5,02/Oct/2016
"Habla muy bien el español me ayudó mucho a mejorar A veces usa botas y traje vaquero eso sí bien boleadas XD

En general lo recomiendo ampliamente",BUENO,10.0,6.0,INGLES,8.5,05/Feb/2014
Muy buen maestro Muy bien vestido elegante y casual,REGULAR,6.0,2.0,Inglés 2,10.0,09/Jul/2013
Chabe es la mejor es exigente pero es muy linda no te regala la calificación pero te ayuda a hacer las cosas bien,BUENO,9.0,8.0,Taller Integral,9.5,16/Dic/2015
En lo personal me cayó muy bien Pide participación en clase pero no son preguntas difíciles si te surge alguna duda y le preguntas él te responde con amabilidad y explica muy bien Los exámenes son de muchas preguntas en una hora El plan de trabajo de la materia es que tú des las clases,BUENO,8.0,8.0,FCQ/Anatomía y Fisiología,9.0,30/Ago/2021
Es el mejor profesor de la facultad que he tenido en mi vida estudiantil,BUENO,10.0,8.0,Quimica/Geoquimica/Quimica Organica,9.0,22/May/2016
No sabe enseñar,MALO,3.0,6.0,Teoría general del estado,8.5,08/Feb/2017
