comentario_esp,mp_tag,calidad,facilidad,materia,calif_Obtenida,fecha,comentario_eng
No es un buen docente Su clase tiene 0 organización No utilizan el libro adecuado Si quieres aprender estudia tú Deja dibujos de tareas y exposiciones por grupo Échale ganas y busca caerle bien para que no tengas problema Quédate al fina len los exámenes y te da las respuestas,REGULAR,4.0,4.0,Anatomía II / Neuroanatomía,8.0,08/Ago/2017,"He is not a good teacher His class has 0 organization They do not use the right book If you want to learn, study yourself He leaves homework drawings and presentations per group He tries hard and tries to like you so that you do not have problems He stays at the end of the exams and gives you answers"
Es buen maestro explica super bien y califica tranquilo Trabajas normal nunca acelerado y las dudas las responde siempre 4 examenes con pase cada uno Examenes tranquilos 1010,BUENO,10.0,8.0,calculo I y II,9.5,19/Feb/2023,"He is a good teacher who explains very well and grades quietly You work normally, never rushed and always answers your questions 4 exams with a pass each Quiet exams 1010"
Es buen maestro en virtual muchos trabajos en equipo y los exámenes son sencillos si hacen los ejercicios de clase,BUENO,9.0,8.0,Cálculo I,10.0,14/Dic/2021,He is a good teacher in virtual many team works and the exams are easy if you do the class exercises.
Excelente profesor para aprender portugués te enseña demasiado de la cultura brasileña,BUENO,10.0,6.0,Portugués 2,9.0,09/May/2022,Excellent teacher to learn Portuguese teaches you too much of the Brazilian culture.
Cuando era profesor de Letras divagaba mucho en clase y se hacía el cómico No separaba los asuntos personales de los académicos,MALO,3.0,4.0,En todas las que daba.,9.0,25/Mar/2021,When he was a literature professor he rambled a lot in class and acted as a comedian He did not separate personal matters from academic ones.
Te dice huevon aunque le hagas el paro en si es un hijo de la chingada aprendes más en youtube o el icatson que con el,MALO,3.0,6.0,Manufactura avanzada,7.0,05/Jul/2023,"He tells you ""huevon"" even if you stop him, he is a son of a bitch, you learn more on youtube or icatson than with him."
Pasa medio semestre no es exageración explicando por qué es importante la manufactura muestra poco interés en utilizar métodos diferentes para enseñanza considerando las clases online intentó simular cnc con figuras predetermiandas de word,REGULAR,6.0,10.0,Manufactura avanzada,9.0,17/Dic/2021,Spends half a semester is no exaggeration explaining why manufacturing is important shows little interest in using different methods for teaching considering online classes tried to simulate cnc with predefined figures from word
Quiere dar clases en otras horas pone examenes tarde tiene temperamento muy poco profecional deja tareas que nada que  ver con la clase,MALO,3.0,8.0,Manufactura Avanzada,10.0,17/Dic/2021,"Wants to teach at other times, puts exams late, has a very unprofessional temperament and leaves homework that has nothing to do with the class."
Toda la programación viene determinada por el departamento él solo es portavoz de lo que dicen arriba Es buen maestro pero la materia no ayuda ya que los contenidos son tediosos pero su forma de abordarlos los hace más ligeros,BUENO,10.0,10.0,Sustentabilidad en las Ingenierías,10.0,18/Dic/2021,All the programming is determined by the department he is just a spokesman for what they say above He is a good teacher but the subject matter does not help as the contents are tedious but his way of approaching them makes them lighter.
Gran ser humano que nos orienta con los valores de un buen médico y nos enseña a aprender de múltiples formas súper respetuoso dedicado y responsable,BUENO,10.0,10.0,Embriologia,9.0,13/Oct/2022,"Great human being who guides us with the values of a good doctor and teaches us to learn in multiple ways super respectful, dedicated and responsible."
Gran ser humano y excelente académico siempre al pendiente de nosotros,BUENO,10.0,10.0,Pediatria,9.0,24/Sep/2021,Great human being and excellent academic always looking after us.
la docencia y el trato amable y respetuoso a sus alumnos es lo que caracteriza a nuestro profe,BUENO,10.0,10.0,pediatria,9.0,23/Sep/2020,teaching and the kind and respectful treatment of his students is what characterizes our teacher.
Es un profesor con alma buena ayuda a sus alumnos a crecer y aprender de muchas formas ideal para ser un Coaching motivacionales al 100 profesional respetuoso y súper amable y alegre siempre al pendiente de nuestras dudas,BUENO,10.0,10.0,Pediatría,9.0,20/Ago/2020,"He is a teacher with a good soul who helps his students to grow and learn in many ways, ideal to be a 100% professional, respectful, super friendly and cheerful motivational coach, always attentive to our doubts."
SUS CLASES EXCELENTES UN EJEMPLO A SEGUIR COMO PROFESOR Y COMO SE DEBEN TRATAR A LOS PACIENTE CUANDO LLEGUEMOS A SER MEDICOS GENERALES O ESPECIALISTAS,BUENO,10.0,10.0,PEDIATRIA,9.0,23/Abr/2020,HIS EXCELLENT CLASSES ARE AN EXAMPLE TO FOLLOW AS A TEACHER AND HOW PATIENTS SHOULD BE TREATED WHEN WE BECOME GENERAL PRACTITIONERS OR SPECIALISTS.
"Gran ser humano con valores muy marcados hacia el respeto y el cómo enseñar a nosotros los
Jóvenes",BUENO,10.0,10.0,Embriología,9.5,20/Nov/2019,"Great human being with very marked values towards respect and how to teach us, the
Youth"
Excelente ser humano,BUENO,10.0,10.0,Hematoncologia,9.0,03/Ene/2019,Excellent human being
No muestra interés responde de mala gana si le preguntas Equipos exponen pero él no dice nada sobre la clase,MALO,3.0,6.0,Biologia del desarrollo,10.0,26/Ene/2018,He does not show interest and responds reluctantly if you ask him if you ask him for equipment but he does not say anything about the class.
Excelente maestro y un gran ser humano estricto con sus tareas en casa y mucha participación con mucha experiencia,BUENO,10.0,10.0,Biología del desarrollo,9.5,15/Dic/2017,Excellent teacher and a great human being strict with homework and a lot of participation with a lot of experience.
Relativamente buena realmente recomendado preguntar y aclarar absolutamente todas tus dudas Desventajas Preparate para propaganda política no solicitada y juicios sobre que tan imperialista eres y que tanto le crees a Estados Unidos,BUENO,8.0,4.0,Teoría de la Computación,10.0,10/Jun/2021,Relatively good really recommended to ask and clarify absolutely all your doubts Disadvantages Prepare for unsolicited political propaganda and judgments about how imperialistic you are and how much you believe the United States.
No toma lista Si faltas ni cuenta se da Expone muy bien Califica al final del parcial con examen en grupos Pónganse de acuerdo una semana antes Es muy fácil,BUENO,8.0,10.0,Biología del Desarrollo (Geriatría),10.0,08/Ago/2017,"No roll call If you are absent, you don't even realize it You expose very well You grade at the end of the midterm with a group exam Agree one week in advance It's very easy"
Excelente profesora Responsable y muy atinada en sus comentarios,BUENO,10.0,6.0,Características de la sociedad actual,9.5,11/Ene/2011,Excellent teacher Responsible and very accurate in her comments.
La clase más difícil que he tenido también la clase en la que más he aprendido Esta clase es estudiar todo el día todos los días pero aprendes un montonal de anatomía y te acostumbras mucho a lo difícil de la carrera lo cual es invaluable,BUENO,7.0,2.0,Anatomía I,7.5,24/May/2023,The hardest class I've ever had and also the class I've learned the most from This class is studying all day every day but you learn a lot of anatomy and get used to the difficulty of the course which is invaluable.
En sus exámenes pone de todo menos de lo que se vio en la clase,MALO,2.0,2.0,Neurología,8.5,17/Dic/2020,In your exams you put everything but what was seen in the class.
Excelente doctor,BUENO,10.0,6.0,Anatomía I,8.0,28/Dic/2018,Excellent doctor
Es cuestión de dedicarle todo a su clase tanto como tiempo y esfuerzo,BUENO,8.0,6.0,Anatomia 1,7.5,07/Dic/2017,It's a matter of dedicating your time and effort to your class.
Me parece que en esta clase aprender anatomia depende totalmente de cada estudiante El doctor no da la clase y su forma de evaluar es algo confusa,REGULAR,5.0,4.0,Anatomia 1,8.0,29/Dic/2016,It seems to me that in this class learning anatomy depends entirely on each student. The doctor does not teach the class and his way of evaluating is somewhat confusing.
Si quieres aprender estudia mucho todos los días e intenta agarrarle el ritmo No te atrases y repasa Intenta no hacerte tonto y estudia a pesar de que haya voluntarios Sólo así aprenderás Al principio libro es difícil entender luego le agarras el rollo así que tranquilo,REGULAR,6.0,2.0,Anatomía I,8.0,28/Dic/2016,"If you want to learn, study hard every day and try to get into the rhythm Don't fall behind and review Try not to make a fool of yourself and study even if there are volunteers This is the only way to learn At first it is difficult to understand the book, then you get the hang of it, so don't worry."
Te exige a leer todos los díás eso es seguro que estudias y así llegas preparado al examen aprendes mucho por más dificil que sea es cuestión de agarrarle el rollo y a parte es un amor con lo alumnos los recompensa al final con una carne asada y es muy lindo con todos aparte de que te explica,BUENO,10.0,4.0,Anatomia I,9.5,05/Dic/2015,"He requires you to read every day, that's for sure that you study and so you arrive prepared to the exam, you learn a lot no matter how difficult it is, it's a matter of getting the hang of it and besides, he loves his students and rewards them at the end with a barbecue and he is very nice to everyone, apart from explaining things to you."
NO ME GUSTO SU METODO MUY DIFICIL ANATOMIA SOBRE TODO NEUROANATOMIA MUCHOS REPROBADOS,REGULAR,4.0,2.0,ANATOMÍA,7.0,24/Ago/2015,I DID NOT LIKE HIS METHOD VERY DIFFICULT ANATOMY ESPECIALLY NEUROANATOMY MANY FAILED.
Anatomia muy dificil,REGULAR,4.0,2.0,Anatomia,7.5,30/Abr/2014,Very difficult anatomy
El profe se ve que sabe pero divaga mucho en los temas no prepara clases y termina tomando clases completas para temas que no tienen que ver con la materia Deja tareas largas y para entregar en poco tiempo No tomaría otra clase con el,REGULAR,5.0,4.0,Algebra Superior 1,23.0,10/Nov/2021,The teacher looks knowledgeable but rambles a lot on the topics he doesn't prepare classes and ends up taking full classes for topics that have nothing to do with the subject He leaves long assignments to be handed in in a short time I would not take another class with him
Es un profesor riguroso y puede parecer duro pero tiene mucho conocimiento que ofrecer Si participas y haces preguntas en clase te irá bien Tienes que tomarte la clase con seriedad pero lo que te enseña no se te olvida,REGULAR,6.0,4.0,Álgebra Superior,10.0,02/Ago/2021,He is a rigorous teacher and may seem tough but he has a lot of knowledge to offer If you participate and ask questions in class you will do well You have to take the class seriously but what he teaches you will not be forgotten
Maestro que parece buena onda pero nomás no es bien terco con su manera de enseñar y deja trabajos para el mismo día en línea y nunca los revisa por lo que nunca nos da retroalimentación,REGULAR,4.0,4.0,Programación,8.5,30/Jul/2021,Teacher who seems cool but just isn't very stubborn with his teaching and leaves same day assignments online and never reviews them so he never gives us feedback.
No tuvo estructurada la forma de dar la clase por lo que fue muy un curso muy ineficiente y por lo tanto poco productivo,REGULAR,5.0,10.0,Mecánica I,10.0,23/Dic/2021,He did not have a structured way of teaching the class so it was a very inefficient course and therefore not very productive.
Su metodología de evaluación nunca fue clara los resultados de exámenes nunca los entregó,BUENO,7.0,8.0,Física I con laboratorio,9.5,14/Dic/2021,His evaluation methodology was never clear and test results were never delivered.
Es uno de los MEJORES y más dedicados maestro de toda la Unison Todas las materias que imparte siempre asiste a pesar de que ya está mayor pone mucha atención a las expos y enseña consejos clinicos muy practicos,BUENO,10.0,8.0,Fisiopatologia,10.0,22/Ene/2015,He is one of the BEST and most dedicated teachers in all of Unison All the subjects he teaches he always attends even though he is older he pays a lot of attention to the lectures and teaches very practical clinical advice.
Excelente Me gusto mucho su metodo de enseñanza en fisiología II,BUENO,10.0,10.0,Fisiologia,9.5,30/Abr/2014,Excellent I really liked your teaching method in physiology II.
El único problema es que pone todo tan fácil que uno no se da cuenta de que aprende poco hasta después cuando lleva materias mas avanzadas,BUENO,10.0,10.0,Fisiología,8.0,07/Mar/2014,The only problem is that he makes everything so easy that you don't realize that you are learning little until later when you are taking more advanced subjects.
doctor Herrera es un cirujano reconocido aqui en Hermosillo y en Sonora nos dio la materia de Fisiologia hace muy buenas preguntas en las exposiciones y busca que aprendas y que estudies diariamente sus examenes no son dificiles pregunta lo mas importante y tiene talleres clinicos muy recomendado,BUENO,10.0,8.0,Fisiologia,10.0,17/Feb/2014,Dr. Herrera is a recognized surgeon here in Hermosillo and in Sonora he gave us the subject of Physiology he asks very good questions in the expositions and wants you to learn and study daily his exams are not difficult he asks the most important questions and has clinical workshops highly recommended.
En un semestre en línea atendía una vez a la semana mandaba un video y material extra para el trabajo y con ese conjunto de ensayos evaluó el semestre,BUENO,10.0,10.0,Características de la Sociedad Actual,10.0,18/Dic/2021,In an online semester I attended once a week and sent a video and extra material for the work and with that set of essays I evaluated the semester.
Buenas clases virtuales es muy imponente su forma de explicar pero adaptándote aprendes mucho con ella Son varios trabajos en equipo,BUENO,9.0,6.0,Álgebra,10.0,14/Dic/2021,Good virtual classes are very imposing her way of explaining but adapting you learn a lot with her.
Subjetivo,BUENO,8.0,4.0,Diseño,8.0,24/Jul/2015,Subjective
Una eminencia muy exigente pero siempre apoya a sus alumnos le gusta sacar lo mejor de todos Uno de los mejores de derecho,BUENO,9.0,10.0,Derecho Agrario,10.0,18/Mar/2023,A very demanding eminence but always supportive of his students He likes to bring out the best in everyone One of the best in law
"Es estricto respecto a los trabajos y a la puntualidad pero flexible si tienes una buena excusa Sus clases se basan en las tareas y a veces encarna 1 exposición Reprueban los flojos
Dicho sea de paso es uno de los mejores profesores de la facultad de derecho de la UNISON campus Hermosillo",BUENO,10.0,10.0,Derecho Civil III,10.0,22/Feb/2019,"He is strict about homework and punctuality but flexible if you have a good excuse His classes are based on homework and sometimes embodies 1 exposure He fails the lazy ones.
By the way, he is one of the best professors at the law school of UNISON Hermosillo campus."
un cordial saludo SOY LIC BEATRIZ RIVERA JURAZ mi CORREO maestrabeatrizrjhotmailcom,BUENO,10.0,10.0,procesalpenal,10.0,29/Sep/2014,cordial greetings I AM LIC BEATRIZ RIVERA JURAZ my EMAIL maestrabeatrizrjhotmailcom
EXCELENTE MAESTRO MAESTRO DE RESPETO POR EL SOY LO QUE SOY TODA UNA LICENCIADA EN DERECHO,BUENO,10.0,6.0,FISCAL,10.0,15/May/2013,EXCELLENT MASTER TEACHER OF RESPECT FOR HIM I AM WHAT I AM A GRADUATE IN LAW.
buen maestro,BUENO,10.0,6.0,civil III,9.5,02/Feb/2013,good teacher
es facil si quieres cumplir y en verdad aprender excelente maestro que esta disponible para sus alumnos fuera de clase cuando necesitan ayuda,BUENO,10.0,6.0,civil I,10.0,07/Dic/2012,it's easy if you want to comply and really learn excellent teacher who is available to his students outside of class when they need help
ES UN B UEN  MARSTRO,BUENO,10.0,10.0,DERECHO  PROCESAL,10.0,23/May/2012,IS A GOOD MARKER
bueno  positivo,BUENO,10.0,10.0,derecho  procesal,10.0,18/May/2012,good positive
EXCELENTE,BUENO,10.0,10.0,DERECHO CIVIL  UNO,10.0,12/May/2012,EXCELLENT
excelente maestro,BUENO,10.0,10.0,d.civil,10.0,20/Abr/2012,excellent teacher
ES UN  BUEN  MAESTRO PERO HAY  ALUMNOS  IRRESPONSABLES Y  DE  MALA  FE QUE QUIEREN  NOMAS UNA BUENA CALIFICACION SIN  ESTUDIAR Y  SON  LOS  QUE HABLAN MAL  PERO PARA MI  ES EL  MEJOR  MAESTRO  QUE  HE TENIDO,BUENO,10.0,10.0,VARIAS MATERIASPROCESALES,10.0,22/Feb/2012,HE IS A GOOD TEACHER BUT THERE ARE IRRESPONSIBLE AND BAD FAITH STUDENTS WHO JUST WANT A GOOD GRADE WITHOUT STUDYING AND THEY ARE THE ONES WHO TALK BAD BUT FOR ME HE IS THE BEST TEACHER I HAVE EVER HAD.
HOLAN  MAESTRO,BUENO,10.0,10.0,EN TODAS LA MQUE NDA,10.0,29/Dic/2011,HOLAN MAESTRO
ES  UN GRAN MAESTRO  PERO  EXIGENTE,BUENO,10.0,10.0,DERECHO CIVIL,10.0,29/Dic/2011,IS A GREAT TEACHER BUT DEMANDING
felicidades  maestro,BUENO,10.0,10.0,derecho  fiscal,10.0,28/Nov/2011,congratulations master
EXCELENTE SALUDO,BUENO,10.0,10.0,D.  FISCAL,10.0,07/Oct/2011,EXCELLENT GREETING
ESBUEN  MAESTRO  CON MUCHA  EXPERIENCIA EN LA  DOCENCIA Y ABOGACIA,BUENO,10.0,10.0,PROCESAL  CIVIL,10.0,07/Oct/2011,HE IS A GOOD TEACHER WITH A LOT OF EXPERIENCE IN TEACHING AND ADVOCACY.
ES UN EXCELENTE  PROFESOR,BUENO,10.0,10.0,DERECHO  PROCESAL PENAL,10.0,06/Oct/2011,IS AN EXCELLENT TEACHER
lo  recuerdo  con carino como  profesor como  aprendi,BUENO,10.0,10.0,int.  al    derecho,10.0,06/Oct/2011,I remember him fondly as a teacher how I learned
muiy bueno,BUENO,10.0,10.0,int.al  derecho,10.0,06/Oct/2011,very good
el  profesor juraz  pena es  un  profesor  que se  aprende mucho sabe dar la clase  pero  no  le gusta  que falten ni  que incumplan  con  las tareas,BUENO,10.0,10.0,derecho  administrativo,10.0,06/Oct/2011,professor juraz pena is a teacher who learns a lot and knows how to teach the class but does not like to be absent or to fail to complete the assignments.
excelente  profesor  saludos,BUENO,10.0,10.0,d.  civil,10.0,05/Oct/2011,excellent teacher greetings
ES  UN  EXCELENTE PROFESOR DE DERECHO  PROCESAL  Y  ADMINISTRATIVO  UN  SALUDO  A MI  PROFESOR,BUENO,10.0,10.0,DERECHO  PROCESAL  PENAL,10.0,05/Oct/2011,HE IS AN EXCELLENT PROFESSOR OF PROCEDURAL AND ADMINISTRATIVE LAW A SALUTATION TO MY PROFESSOR
EXCELENTE  MAESTRO Y  ES MUY  CUMPLIDO  Y  EXIGENTE,BUENO,10.0,10.0,D. ADMINISTRATIVO,10.0,01/Oct/2011,EXCELLENT TEACHER AND HE IS VERY ACCOMPLISHED AND DEMANDING
que  bueno,BUENO,10.0,10.0,d. civil,10.0,30/Sep/2011,how nice
que  bueno,BUENO,10.0,10.0,d. civil,10.0,30/Sep/2011,how nice
ES UN BUEN  PROFESOR ES HOMBRE  ESTRICTO CUMPLIDO Y  EXIGENTE NUNCA FALTA Y  ENSENA MUY  BIEN,BUENO,10.0,10.0,DERECHO  PROCESAL  MERCANTIL,10.0,30/Sep/2011,HE IS A GOOD TEACHER HE IS A STRICT AND DEMANDING MAN HE NEVER FAILS AND HE TEACHES VERY WELL.
ES  BUEN  PROFESOR PERO EXIGENTE,BUENO,10.0,10.0,DERECHO  ADMINISTRATIVO,10.0,29/Sep/2011,IS A GOOD TEACHER BUT DEMANDING
ES UN  BUEN  PROFESOR DE DERECHO  PROCESAL  PENAL  CIVIL Y MERCANTIL,BUENO,10.0,10.0,PROCESALES,10.0,29/Sep/2011,IS A GOOD PROFESSOR OF CIVIL AND COMMERCIAL CRIMINAL PROCEDURE LAW.
EL  PROFESOR JURAZ  PENA ES UN BUEN  PROFESOR CUMPLIDO EXIGENTE   Y  NUNCA  FALTA,BUENO,10.0,10.0,DERECHO  PROCESAL FISCAL,10.0,29/Sep/2011,PROFESSOR JURAZ PENA IS A GOOD TEACHER WHO IS VERY DEMANDING AND NEVER FAILS.
EXCELENTE   PROFESOR  Y  EXIGENTE,BUENO,10.0,10.0,DERECHO  PROCESAL  PENBA,10.0,29/Sep/2011,EXCELLENT AND DEMANDING TEACHER
es  cute mplidor  y exigen,BUENO,10.0,10.0,derecho  procesal  penal,10.0,28/Sep/2011,is cute and demanding
muy  bueno como  profesor y nunca falta pero  exige mucho,BUENO,10.0,10.0,derecho fiscal  y  ci8vi8l,10.0,27/Sep/2011,very good as a teacher and never lacks but demands a lot.
QUE BUEN   PROFESOR,BUENO,10.0,10.0,DERECHO  CIVIL,10.0,26/Sep/2011,WHAT A GREAT TEACHER
saludos  a  mi  profesor  nicolas juiraz  pen a,BUENO,10.0,10.0,derecho  procesal,10.0,26/Sep/2011,greetings to my teacher nicolas juiraz pen a
SALUDOS A MI  PROFESOR,BUENO,10.0,10.0,D.CIVIL,10.0,25/Sep/2011,GREETINGS TO MY TEACHER
SALUDOS  PARA  EL  PROFESOR JURAZ  PENA ADELANTE  MAESTRO,BUENO,10.0,10.0,DERECHO  ADMINISTRATIVO,10.0,25/Sep/2011,GREETINGS TO PROFESSOR JURAZ PENA ADELANTE MAESTRO
ES EL  MAESTRO  QUE  EXIGE MAS ASISTENCIA  TAREAS  PARTICIPACION YO  CREO QUE  PORQUE ES MAS CUMPLIDO DE TODOS Y  ES EL QUE ENSENA MEJOR YO  LLEVE VARIAS MATERIAS  CON EL Y  APRENDI  MUCHO SIEMPRE ESTA DISPUESTO  A AYUDARTE,BUENO,10.0,10.0,LOS DERECHOS CIVILES,10.0,24/Sep/2011,HE IS THE TEACHER WHO DEMANDS MORE ATTENDANCE AND PARTICIPATION TASKS I THINK BECAUSE HE IS THE MOST COMPLIANT OF ALL AND HE IS THE ONE WHO TEACHES THE BEST I TOOK SEVERAL SUBJECTS WITH HIM AND I LEARNED A LOT AND HE IS ALWAYS WILLING TO HELP YOU.
MUY  RESPONSABLE Y  SIEMPRE  ESTA  DISPUESTO  A  AYUDAR  A  SUS  ALUMNOS CUMPLIDOS,BUENO,10.0,10.0,DERECHO  CIVIL,10.0,23/Sep/2011,VERY RESPONSIBLE AND IS ALWAYS WILLING TO HELP HIS STUDENTS.
HABLAR  DE  JURAZ PENA COMO  PROFESOR  ES UN  FENOMENO EN  EL MUNDO  JURIDICO  SABE  MUCHO   ADEMAS  SE  PRESTA  PARA ASESORAR  A  SUS  ALUMNOS  SIN  IMPORTAR  LA  HORA  SIEMPRE  SE  ENCUENTRA  DISPUESTO A  AYUDAR  COMO  PROFESOR  ES  LOL  MAXIMO,BUENO,10.0,10.0,"DERECHO  PROCESALES, MERCANTIL,  FISCAL    ESTC.",10.0,23/Sep/2011,TALK ABOUT JURAZ PENA AS A TEACHER IS A PHENOMENON IN THE LEGAL WORLD KNOWS A LOT ALSO LENDS ITSELF TO ADVISE HIS STUDENTS REGARDLESS OF THE TIME IS ALWAYS READY TO HELP AS A TEACHER IS LOL MAXIMO
ES  BUEN  MAESTRO,BUENO,10.0,10.0,DERECHO  PROCESAL,10.0,22/Sep/2011,IS A GOOD TEACHER
ES UN  EXCELENTE  PROFESOR Y DA  MUCHOS  CONSEJOS,BUENO,10.0,10.0,DERECHO  CIVIL,10.0,21/Sep/2011,HE IS AN EXCELLENT TEACHER AND GIVES A LOT OF ADVICE
COMO  PROFESOR MUY  BUENO  COMO ABOGADO NOS  PROPORCIONA  MUCHAS  ANECDOTAS  Y  SIEMPRE  ESTA  DISPUESTO  A  AYUDARNOS EN  ALGUN PROBLEMA,BUENO,10.0,10.0,DERECHOS   PROCESALES   CIVILES  Y  PENALES,10.0,21/Sep/2011,AS A TEACHER VERY GOOD AS A LAWYER HE GIVES US MANY ANECDOTES AND IS ALWAYS WILLING TO HELP US IN ANY PROBLEM
ES  UN EXCELENTE  PROFESOR MUY CUMPLIDO,BUENO,10.0,10.0,DERECHO  FISCAL,10.0,19/Sep/2011,HE IS AN EXCELLENT AND VERY ACCOMPLISHED TEACHER
que  buen  maestro,BUENO,10.0,10.0,derecho  mercantil,10.0,17/Sep/2011,what a good teacher
es  bieno,BUENO,10.0,10.0,d  civil,10.0,16/Sep/2011,it is well
esun  excelente  profesor  de  algunas  materias  yo  lleve tres materias  con  el  siento  que  aprendi  mucho  pero  nos  hace  trabajar  mucho,BUENO,10.0,10.0,"derecho  civil,  derecho  fiscal  y  mercantil",10.0,15/Sep/2011,he is an excellent teacher of some subjects I have taken three subjects with him I feel that I learned a lot but he makes us work a lot.
es  bueno aprendes mucho,BUENO,10.0,10.0,derecho  fiscal,10.0,14/Sep/2011,it is good you learn a lot
ES  BUENISIMO  Y  EXPLICA MUY  BIEN  PERO  DEJA  MUCHA  TAREAS,BUENO,10.0,10.0,DERECHO  FISCAL,10.0,14/Sep/2011,IT IS VERY GOOD AND EXPLAINS VERY WELL BUT LEAVES A LOT OF HOMEWORK.
ES BUEN  PROFESOR MUY CUMPLIDO  Y  EXIGENTE,BUENO,10.0,10.0,DERECHO  MERCANTIL Y  PROCESAL  MERCANTIL,10.0,14/Sep/2011,"HE IS A GOOD TEACHER, VERY ACCOMPLISHED AND DEMANDING"
SE PUEDE HABLAR MUCHO  DEL  EXCELENTE  PROFESOR  JURAZ  PENA YO  LLEVE SEIS  CLASES CON  EL  SI  ES CIERTO  DEJA TAREAS  PERO  TAMBIEN ENSENA Y  MUCHO MUY  BIEN  LO  QUE  PASA QUE LOS QUE HABLAN  MAL  SON UNO  FLOJOS  QUE  NO QUIEREN TRABAJAR  SOLO  ESPERAN  A  UN  MAESTRO BARCO PARA PASAR LA  MATERIA  EL  MAESTRO  JURAZ  ODIA A LOS ALUMNOS FLOJOS MAS SI  SON BARBEROS,BUENO,10.0,10.0,DERECHO  CIVILES  Y MERCANTILES,10.0,13/Sep/2011,"I HAVE TAKEN SIX CLASSES WITH HIM, YES IT IS TRUE THAT HE LEAVES HOMEWORK BUT HE ALSO TEACHES VERY WELL AND VERY WELL WHAT HAPPENS IS THAT THOSE WHO SPEAK BADLY ARE LAZY PEOPLE WHO DO NOT WANT TO WORK, THEY ONLY WAIT FOR A TEACHER TO PASS THE SUBJECT, TEACHER JURAZ HATES LAZY STUDENTS, ESPECIALLY IF THEY ARE BARBERS."
ES UN BUEN MAESTRO,BUENO,10.0,10.0,DERECHO  MERCANTIL,10.0,13/Sep/2011,IS A GOOD TEACHER
"ES  EX CELENTE  PROFESOR Y  AYUDA MUCHO 
SIEMPRE ESTA DISPUESTO  ASESORAR",BUENO,10.0,10.0,DERECHO  MERCANTIL,10.0,12/Sep/2011,"HE IS AN EXCELLENT TEACHER AND IS VERY HELPFUL
HE IS ALWAYS READY TO GIVE ADVICE"
ES  UNICO  ES  UN GRAN  PROFESOR  SE  APRENDE  PERO   HAY  QUE  TRABAJAR  Y  CUMPLIR  CON LA ASISTENCIA  TAREAS Y   PARTICIPACION,BUENO,10.0,10.0,DERECHO  ADMINISTRATIVO Y  FISCAL,10.0,11/Sep/2011,"HE IS A GREAT TEACHER YOU LEARN BUT YOU HAVE TO WORK AND COMPLY WITH ATTENDANCE, HOMEWORK AND PARTICIPATION."
EL  MAESTRO JURAZ  ES MUY  INTELIGEN  PARA  ENSENAR Y CONOCE MUY  BIEN SU  MATERIA  SE  AORENDE MUCHO  CON  EL,BUENO,10.0,10.0,DERECHO  CIVIL,10.0,10/Sep/2011,"THE TEACHER JURAZ IS VERY INTELLIGENT TO TEACH AND KNOWS HIS SUBJECT VERY WELL, WE LEARN A LOT WITH HIM."
EXCELENTE RESPONSABLE EXIGENTE  UNICO CONOCE  SU  MATERIA  SE  APRENDE   DEJA  TAREAS  NOS  EXHORTA  A  ESTUDIAR Y  A  INVESTIGAR,BUENO,10.0,10.0,DERECHO  FISCAL  Y  PROCESAL  FISCAL,10.0,10/Sep/2011,"EXCELLENT, RESPONSIBLE, DEMANDING, UNIQUE, KNOWS HIS SUBJECT, LEARNS, LEAVES HOMEWORK, ENCOURAGES US TO STUDY AND RESEARCH."
EL  MAESTRO  JURAZ ES UNICO COMO PROFESOR  DE DERECHO  ES UN  PROFESOR  QUE SE PREOCUPA  POR EL ALUMNO  ES  UN  PROFESOR  QUE ENSENA ES UN PROFESOR  QUE  CUMPLE COMO MAESTRO ES  UN PROFESOR  QUE  SIEMPRE ESTA DISPUESTO  A ASESORAR Y  DE AYUDAR  AL ALUMNO,BUENO,10.0,10.0,"DERECHOS  PROCESALES, COMO  PENAL  CIVIL Y MERCANTIL",10.0,09/Sep/2011,"JURAZ IS UNIQUE AS A TEACHER OF LAW, HE IS A TEACHER WHO CARES ABOUT THE STUDENT, HE IS A TEACHER WHO TEACHES, HE IS A TEACHER WHO FULFILLS AS A TEACHER, HE IS A TEACHER WHO IS ALWAYS READY TO ADVISE AND HELP THE STUDENT."
ES  BUEN PERO  DEJA TAREAS Y  NUNCA FALTA SE APRENDE MUCHO  CON EL  PERO  DEBE DE DARNOS ALGUNOS DIAS DE DESCANSO,BUENO,10.0,10.0,DERECHO  PROCESAL  ADMINISTRATIVO,10.0,09/Sep/2011,HE IS GOOD BUT HE LEAVES HOMEWORK AND NEVER FAILS TO LEARN A LOT WITH HIM BUT HE SHOULD GIVE US SOME DAYS OFF.
EXCELENTE MAESTRO PERO  DEJA  MUCHA TAREAS,BUENO,10.0,10.0,D.  CIVIL,10.0,09/Sep/2011,EXCELLENT TEACHER BUT LEAVES A LOT OF HOMEWORK
ES  MUY  BUENO  COMO  MAESTRO  MUY  RESPONSABLE  Y  CUMPLIDO  SE  APRENDE MUCHO,BUENO,10.0,10.0,"DERECHO  CIVIL UNO, DOS, TRES   Y  CUATRO",10.0,08/Sep/2011,"HE IS VERY GOOD AS A TEACHER, VERY RESPONSIBLE AND VERY RESPONSIBLE, AND YOU LEARN A LOT."
bueno,BUENO,10.0,10.0,d.  civil,10.0,08/Sep/2011,well
