comentario_esp,mp_tag,calidad,facilidad,materia,calif_Obtenida,fecha
Extraordinario profesor Le sabe al tema y su clase es amena y divertida Todo lo que te enseña se te queda porque nos involucra y nos pone casos prácticos,BUENO,10.0,10.0,Retórica,9.0,27/Jul/2023
Sabe muchísimo del tema Su clase es amena interesante y aprendes o aprendes Excelente profesor,BUENO,10.0,8.0,Derecho Constitucional,9.0,04/Feb/2023
El maestro es muy bueno los temas de constitucional los expone de manera clara y concisa Si estás buscando un profe que te haga enamorarte de la materia es el indicado,BUENO,10.0,6.0,Constitucional,9.5,04/Feb/2023
De los mejores maestros de la facultad Sus clases son amenas y sabe muchísimo del tema Lo recomiendo ampliamente,BUENO,10.0,8.0,Derecho electoral,9.5,27/Ene/2023
Definitivamente una clase amena siempre directo al punto acompañado de buen humor y ejercicios que hacen que te gire la piedra muy contenta con su clase ,BUENO,10.0,10.0,Derecho Electoral,8.5,26/Ene/2023
El profesor hizo que la clase y los temas vistos fueran muy claros Durante el semestre nunca me aburrí y aprendí cosas muy útiles no sólo para la materia sino también para la carrera y la vida Si tienes la oportunidad de inscribirte con el profesor hazlo No te arrepentirás,BUENO,10.0,6.0,Administración Pública,10.0,17/Ene/2023
Extraordinario Tienes que leer pero vale la pena El profesor explica muy bien conoce su tema y sus clases son muy amenas,BUENO,10.0,10.0,Derecho constitucional,9.0,17/Ene/2023
"Es de los mejores profesores que he tenido en mi vida hace muy amena la clase y en ningún momento me sentí aburrida Al profesor le encanta dar clase y su forma de darla mantiene atento a todo el grupo 
Sin duda tomaría clase con él otra vez aprendí muchísimo y la clase es muy dinámica",BUENO,10.0,10.0,Derecho constitucional,10.0,10/Ene/2023
El maestro Jesús es un buen docente la verdad no esperaba mucho y fue toda una sorpresa para bien es divertido diferencia entre la diversión y las clases aparte deja textoslecturas entretenidas y que hacen que quieras saber más del tema,BUENO,10.0,8.0,Retórica para la interpretación jurídica,10.0,10/Ene/2023
Excelente docente hace muy divertida la clase y crece totalmente el interés en la materia,BUENO,9.0,6.0,Retórica para la Interpretación y Argumentación Juridic,10.0,10/Ene/2023
Es un profesor comprometido con la clase no hace tediosa la materia al contrario enseña de manera clara y simple los temas  deja lecturas que se discuten en clase y gracias a la interacción entre el profesor y los alumnos la clase nunca es aburrida aprenderás dependiendo de tu constancia,BUENO,9.0,6.0,Retórica para la interpretación y argumentación jurídic,10.0,10/Ene/2023
Es un profesor que ama dar su clase logrando que el tiempo transcurra muy rápido y necesites más tiempo para continuar con los debates sobre los temas Relaciona su experiencia con la asignatura Aprendes de una manera muy didáctica y clara,BUENO,10.0,10.0,DERECHO CONSTITUCIONAL,10.0,08/Ene/2023
El mejor profe de derecho que he tenido,BUENO,10.0,6.0,Derecho Constitucional,24.0,07/Ene/2023
Es un profesor comprometido con su clase se nota que realmente lo disfruta Es bastante claro al explicar un tema y lo relaciona con hechos prácticos,BUENO,10.0,8.0,"Administración Pública Federal, Estatal y Municipal",10.0,20/Nov/2022
Excelente académico y persona sabe mucho de los temas de la clase es amable la clase es dinámica hace un examen final al final del curso,BUENO,10.0,10.0,"Administración Publica Federal, Estatal y Municipal",23.0,18/Nov/2022
Excelente profesor cuenta con amplio domino del temario,BUENO,7.0,6.0,Retórica para la Interpretación y Argumentación,23.0,18/Nov/2022
"Siempre hay un altísimo interés en la clase por parte del grupo dado el buen método pedagógico utilizado por el maestro pues la clase es dinámica entretenida clara en información y muy dinámica en cuanto a participación 
El maestro es un docente muy claro en sus explicaciones y franco",BUENO,10.0,10.0,Derecho Constitucional,10.0,18/Nov/2022
Es el mejor profe Apasionado de verdad por su materia y con la capacidad de transmitirlo,BUENO,10.0,10.0,Derecho Constitucional,10.0,18/Nov/2022
a PESAR DE QUE LA MATERIA ES NUEVA ESTE PROFE LE SABE BIEN AL TEMA Mucha lectura muy interesantes clases Ayuda a que todos avancen parejitos en el aprendizaje Bueno hasta guapo dicen Muy carismático SOlo un examen duro al final Gente decente Inscríbanse,BUENO,8.0,6.0,RETÓTICA,8.0,18/Nov/2022
Una de las mejores clases y uno de los mejores profesores que he tenido en toda la carrera pocos como él,BUENO,10.0,8.0,"Administración Pública Federal, Estatal y Municipal",10.0,12/Abr/2022
Es un profesor que siempre está dispuesto a ayudarte cualquier duda te la aclara,BUENO,10.0,6.0,Derecho Constitucional,9.0,12/Feb/2022
Sin duda un gran profesor conocedor de la materia de la que habla y sabe como transmitirlo de forma objetiva y con ejemplos claros  La participación es importante para la dinámica de la clase  deja pocas tareas las cuales son muy sencillas y su forma de evaluar es muy clara desde el principio,BUENO,10.0,10.0,Derecho electoral,10.0,11/Feb/2022
"Es una persona sumamente comprometida con sus clases muy respetuoso y amigable La manera en la que expone los temas es muy dinámica tiene gran conocimiento sobre la materia
Le importa que sus alumnos aprendan y que interactúen 
Además de un excelente profesor es un gran ser humano",BUENO,8.0,6.0,"ADMINISTRACIÓN PÚBLICA FEDERAL,  ESTATAL Y MUNICIPAL",10.0,11/Feb/2022
Es un profesor que cuenta con la preparación técnica Es un docente que transmite de forma muy clara el conocimiento y que logra ir en cuanto a abstracción de menos a más haciendo interesantes las sesiones así como un profesor que busca integrarse y conocer a sus alumnos lo que genera un relación,BUENO,10.0,6.0,"ADMINISTRACIÓN PÚBLICA FEDERAL, ESTATAL Y MUNICIPAL",10.0,11/Feb/2022
"Definitivamente es una clase que volvería a tomar El profesor realmente se preocupa porque los alumnos aprendan de una manera sencilla y didáctica además ejemplifica los temas de la clase con hechos diarios situación que vuelve más dinámico el curso Es una persona crítica y amable 
1010",BUENO,10.0,6.0,"Administración Pública Federal, Estatal y Municipal",10.0,10/Feb/2022
Excelente profesor muy buena su clase y explica de forma muy clara sin duda volvería a tomar clase con él,BUENO,9.0,6.0,Derecho Constitucional,9.0,10/Feb/2022
"Definitivamente un gran profesor
Aborda los temas con claridad y explica a detalle la materia además de que aterriza el temario a los temas de actualidad y coyuntura política
Es dinámico y logra la atención del grupo por su manera de enseñar",BUENO,10.0,8.0,Derecho Constitucional,9.0,10/Feb/2022
Excelente profesor repetiría de nuevo su clase sin temor a equivocarme es de lo mejor que hay en la facultad Las clases son super dinámicas y la explicacion que da siempre es clara y precisa,BUENO,10.0,10.0,Derecho Autoral II,9.0,03/Feb/2022
un excelente profesor con mucha experiencia y conocimiento,BUENO,10.0,8.0,administración pública,8.0,28/Ene/2022
Es único e irrepetible amé sus clases y pediría nuevamente que me diera clases Tanta facilidad de emitir sus amplios conocimientos y sobre todo compartirlos Si alguien no tiene el perfil de abogacía con él entenderá a la primera Uno de mis favoritos para ser Consejero Electoral del INE,BUENO,10.0,10.0,Especialidad en Derecho Electoral,10.0,28/Ene/2022
Sin duda alguna uno de mis mejores profesores de la facultad siempre acude a las clases con buen ánimo mismo que contagia a los alumnos para que queramos seguir sus pasos como juristas experto en la materia con una trayectoria brillante las clases son siempre muy claras y dinámicas,BUENO,10.0,10.0,Derecho Electoral,10.0,27/Ene/2022
La docencia del profesor es sumamente clara y puntual Tiene dedicación por transmitir sus conocimientos Escucha y retroalimenta cualquier duda o comentario Sin duda de los mejores profesores,BUENO,10.0,6.0,Derecho Constitucional,9.0,27/Ene/2022
"Excelente profesor de los mejores que tuve en mi carrera Sus clases son claras sabe explicar los temas Si llegas a tener dudas te explicará con mucha paciencia Las clases se vuelven muy dinámicas Aprenderás y será de una forma muy agradable 
 100 recomendable",BUENO,10.0,8.0,ADMINISTRACIÓN PÚBLICA,10.0,27/Ene/2022
Involucra conocimiento pasión y disciplina Promueve la reflexión y la introyeccion del tema a través de recursos que invitan a adueñarse del mismo Excelente clase,BUENO,10.0,8.0,Derecho Constitucional,9.0,26/Ene/2022
Indudablemente un excelente profesor transmite su experiencia laboral en el ámbito académico Las clases respetuosas amenas didácticas y sobre todo muy preparadas y profesionales Espero tomar alguna otra materia con el profesor Sergio González,BUENO,10.0,10.0,Retórica,9.0,26/Ene/2022
La clase con el profesor es bastante amena clara e interesante Te transmite su pasión por el derecho,BUENO,10.0,10.0,Derecho Constitucional,10.0,26/Ene/2022
Muy buena clase a pesar de que la materia es densa y bastracta el profesor la hace muy entendible los exámenes son claros y todo va sobre lo enseñado en el curso la retroalimentación es buena e importante en su clase requiere ser constante,BUENO,10.0,8.0,administración pública,9.5,26/Ene/2022
Te hace participe en la clase manteniendote activo y atento Facilita la comprensión y entendimiento de los temas Excelente profesor,BUENO,10.0,8.0,Derecho constitucional,9.0,26/Ene/2022
Excelente maestro da la clase didactica y deja paeticipar se hace ligera,BUENO,9.0,4.0,ADMINISTRACIÓN PUBLICA,8.0,26/Ene/2022
Es un profesor dinámico hace la clase amena y siempre muy puntual,BUENO,10.0,10.0,Retórica,9.0,25/Ene/2022
"Excelente profesor de la facultad de derecho 
Muy claro en sus cátedras se prepara para dar su clase es muy amena y se pasa muy rápido

Da adelantos de la clase siguiente para que podamos ir entendiendo se apega al temario Evaluaciones simples y con apego a lo enseñado",BUENO,10.0,6.0,ADMINISTRACIÓN PÚBLICA FEDERAL,10.0,25/Ene/2022
Sabe del tema Clases ligeras pero informadas Combina la teoría con aspectos y casos prácticos Buenas anécdotas del mundo real para explicar mejor los conceptos abstractos Pocas tareas y mucha lectura Pone 10 a todos desde el inicio y el caso es no perderlo Conviene participar,BUENO,8.0,4.0,Derecho Constitucional,8.5,18/Oct/2021
Gran profe Divertido pero aprendes Conoce la materia Lleva buenos invitados a dar temas interesantes Conoce bien la ley Ojo con las repentinas tareas de un día para otro pero son breves,BUENO,10.0,8.0,Derecho Autoral,9.0,19/Feb/2021
Excelente profesor Clases muy dinámicas Si tienes la oportunidad de tomar clase con el hazlo,BUENO,10.0,8.0,Derecho Constitucional,10.0,18/Ene/2021
Es un excelente profesor que promueve retroalimenta la información en clase,BUENO,10.0,10.0,Administración Pública Federal,9.0,24/Ene/2020
Excelente docente de lo mejor de la unam,BUENO,10.0,10.0,Administración pública federal,9.0,24/Ene/2020
"Es un profesor muy bueno y que hace su clase súper amena
Da los temas de forma superficial pero aún así intenta abarcar todo el temario 
En general se recomienda si te interesa aprender solo lo elemental de la materia pasar un buen rato y con buena calificación de por medio BTW No hace exámenes",BUENO,8.0,10.0,Administración Publica Federal Estatal y Municipal,10.0,23/Ene/2020
"Un profesor excelente amable y paciente se preocupa porque todos los alumnos entiendan el tema y todo el grupo vaya parejo para que en el examen salgan todos bien 
Lo recomiendo ampliamente",BUENO,9.0,6.0,Administración Pública,8.5,22/Ene/2020
Le gusta que el grupo participe clases dinámicas y divertidas,BUENO,10.0,6.0,derecho,10.0,27/Nov/2019
Serio pero flexible Muchos ejemplos de la vida real Hay que leer Clases dinámicas,BUENO,7.0,4.0,Administración Pública,8.5,24/Nov/2019
Muestra puntualidad y asistencia excelente dominio de la materia que imparte y mucho respeto por los alumnos,BUENO,10.0,4.0,Fisiología,10.0,19/Oct/2013
Es buen maestro aplica muchos problemas en relacion a la carrera se hace respetar y querer eso si puede que te regañe si no estudias y no se limita en decir las verdades quieres aprender con facilidad pero que te cueste y esfozarte por la calificacion es el indicado,BUENO,8.0,8.0,Calculo Vectorial y Geometria Analitica,8.0,19/Ene/2018
es el mejor,BUENO,10.0,8.0,"analitica, vectorial y cinematica",9.5,25/May/2017
MIS RESPETOSEL MEJOR PROFESOR QUE HE TENIDO,BUENO,10.0,10.0,CALCULO VECTORIAL,10.0,15/Jun/2015
EL MEJOR PROFESOR QUE HE TENIDO REPITIENDO EN CALCULO VECTORIAL,BUENO,10.0,8.0,CALCULO VECTORIAL,10.0,06/Feb/2015
Muy excelente profesor explica super bien no es complicado pasar Recomiendo muy ampliamente al profesor,BUENO,10.0,6.0,Calculo Diferencial e integral,10.0,22/Ene/2015
Exelente,BUENO,10.0,10.0,Calculo vectorial,10.0,14/Ene/2015
"Excelente profesor explica muy bien y queda muy clara su clase el examen es de lo mismo que se ve en su clase
sus clases son problemas de la misma carrera y esta muy interesante
se los recomiendo",BUENO,10.0,6.0,geometria analitica,8.0,01/Dic/2013
ESTE MAESTRO ES DE LOS MEJORES SIN MAS QUE DECIR,BUENO,10.0,10.0,GEOMETRIA ANALITICA / CALCULO VECTORIAL,10.0,08/Jul/2013
EL MEJOR DE LOS MAESTROS EL MEJOR SIN DUDAS,BUENO,10.0,10.0,GEOMETRIA ANALITICA / CALCULO VECTORIAL,10.0,27/Jun/2013
Excelente profesor es uno de los mejores de la fes Explica con calma todo lo deja muy claro si tienes dudas te las resuelve hasta que le entiendaste pasa al pizarron y si no puedes te aydua y sus examenes estan dentro de lo que se vio en clase NUNCA falta no toma asistencia pero al final todo lo valora Tambien existen muchas oportunidades para pasar con el si repruebas ya seria mucho explica super bien,BUENO,10.0,10.0,calculo diferencial e integral,10.0,12/Ene/2011
Excelente Profesorrecomendable,BUENO,10.0,6.0,Biologia de Procriontes,10.0,10/Dic/2014
Es un acosador de alumnas,MALO,2.0,4.0,Redes Neuronales,9.0,21/Ago/2012
"Para mí es la peor docente con la que he tomado clases No le importa enseñar 
Es extremadamente BARCO no aprendes nada 
Si quieres pasar sin hacer nada ella es la opción",MALO,2.0,2.0,INTRODUCCION AINVEST CIENCIAS SOC,10.0,04/Ago/2023
Excelente profesora Preparada y siempre dispuesta a explicar los temas Deja pocas tareas y un ensayo final excelente opción,BUENO,10.0,10.0,SOCIOL.FUNCIONAL. (MERTON  PARSONS AL,9.0,12/Ago/2022
Es un gran profesor pero le falta aprender a enseñar era muy avanzados sus temas y el grupo se perdió  es importante como grupo decirle que no están entendiendo porque sino ya no sabrás que hacer en su materia lo bueno es que era flexible y nos ayudo en todo lo que podía,BUENO,7.0,4.0,Relatividad,7.0,10/Jul/2022
Su clase se basa principalmente en trabajar en equipo deja actividades y mapas mentales La asistencia es obligatoria pese a ser sistema abierto cambia la forma de evaluar a lo largo del semestre,BUENO,7.0,4.0,Filosofía del Derecho SUA,10.0,28/Jul/2015
Escelente Maestra no es dificil pero aprende uno y tiene mucha experiencia,BUENO,10.0,8.0,Deontologia,10.0,31/Ene/2012
Es mucha talacha y hay que cumplir con todo lo que te pedí es mejor cursas Publicidad con ella ya que también da Marco Jurídico pero es un poco tediosa la clase La recomiendo si en verdad vas para el área de Publicidad,BUENO,7.0,8.0,Publicidad,9.0,20/Jul/2012
Sabe mucho acerca de temas de identidad y comunidades y lo transmite muy bien en sus clases No es complicada la materia lo más importante es leer todo para tener buena calificación en los ensayos Es amable y buena onda resuelve cualquier duda,BUENO,10.0,10.0,Análisis de la comunicación emergente,9.0,19/Ene/2019
Gran profesor domina muy bien los temas de identidad y transmite a los alumnos el interés por las culturas originarias A veces la clase se torna un poco pesada por los temas pero vale la pena lo recomiendo Buenas lecturas y pocas tareas,BUENO,8.0,6.0,Comunicación e identidad sociocultural,9.0,23/Jun/2018
"Es un buen profesor y ser humano Conoce temas muy interesantes de movimientos sociales y comunicación alternativa
Tiene bibliografía actualizada y muy interesante sobre temas que se ven poco en la carrera de comunicación y en las ciencias sociales",BUENO,10.0,10.0,Análisis de la Comunicación Emergente,10.0,20/May/2016
El profesor utiliza muchos recursos para hacer su clase dinámica y más sencilla de llevar deja muchas lecturas pero también las complementa con películas invitados de clase trabajos de campo y explicaciones suyas sobre los temas tratados es excelente profesor y excelente persona,BUENO,10.0,10.0,La comunicación alternativa e intercultural (optativa),9.0,08/Dic/2014
Es evidente que jamás se ha dedicado a las relaciones internacionales Pura teoría chafa o noticias del día Si requieren trabajo esotérico búsquenla creo que tiene más experiencia en eso No volvería a tomar su clase,MALO,3.0,10.0,Introducción a las Relaciones Internacionales,8.0,24/Sep/2023
Si odias la teoría y cosas así entonces metela Es una profesora barco y no se aprende mucho Pero su clase es muy buena para discutir sobre acontecimientos sociales actuales  Al inicio de la clase se hace revisión de noticias y puedes comentar y es una dinámica de reflexión muy buena,BUENO,7.0,10.0,Introducción a las RRII,23.0,20/Ene/2019
No tiene idea de lo que habla Se ve que jamas ejerció la carrera Lo cual investigue y es real se dedica al esoterismo Como puede dar una cátedra alguien así,MALO,3.0,6.0,introducción relaciones internacionales,4.5,10/Abr/2015
El 5 en claridad se lo llevó por las únicas 2 clases que dio No le da tiempo de asistir calificar ni evaluar nada La cátedra en el vespertino la da el adjunto que es un mediocre No la metas si quieres llevar clase Tómala si te gusta la educación a distancia,REGULAR,6.0,6.0,Introducción a las Relaciones Internacionales,10.0,19/Abr/2012
Simplemente excelente es muy buena no te la pierdas joven comprometida apoya mucho definitivamente aprendes,BUENO,10.0,8.0,titulos y operaciones de credito,10.0,19/Ene/2015
Los contenidos son padres aunque falta la pasión académica por transmitir el conocimiento,MALO,3.0,10.0,Sociología,10.0,10/Feb/2012
Al principio se me hacía un maestro duro y me daban ganas de darme de baja en sus clases Pero con el tiempo me di cuenta de que se hacen falta más maestros de esos ya que estamos acostumbrados a que nos faciliten las cosas Excelente maestro,BUENO,10.0,10.0,Matemáticas,8.0,21/Nov/2021
eres malo,MALO,2.0,2.0,mate,1.0,10/Feb/2021
Por este profesor estoy a punto de darme de baja de la carrera prefiero seguir trabajando en la fábrica y ganar 2000 al mes a encontrarme con más gente así,MALO,3.0,2.0,MASPI 2,6.0,27/Ene/2021
la neta mejor busca a alguien más huye,MALO,2.0,2.0,matematicas,1.0,27/Ene/2021
Mínimo esperen a que acabe el semestre para opinar No vaya a ser que descubra las reseñas y nos perjudique en la calificación,MALO,3.0,4.0,MASPII,8.5,13/Ene/2021
De lo peor que he cursado en toda mi vida académica cero recomendado M e sorprende que aún siga dando clase,REGULAR,5.0,8.0,MASPI 2,8.5,07/Dic/2020
Con Soriano el curso era fantástico maravilloso hasta cierto punto te sentías en un musical de BROADWAY un curso hermoso pero todo cambio con el me siento en una obra mal hecha y barata la clase es espantosa y las tareas muy largas Totalmente triste y decepcionado,REGULAR,6.0,2.0,MASPI 2,10.0,05/Dic/2020
la clase nomás era buena con el profesor Soriano ya el curso con él es una porquería no enseña nada y sólo deja tareas para estar chingando el peor curso de maspii que he tenido sólo lo salva Soriano,MALO,2.0,2.0,maspii,21.0,04/Dic/2020
super mastro,BUENO,10.0,4.0,matematicas,8.0,19/Jul/2016
Es muy buena onda y sus examene salen de lo que da en clase Solo hay que estudiar proba y calculo porque eso si lo usa,BUENO,10.0,6.0,actuariales I,10.0,08/Ago/2014
"Excelente es muy bueno el y el profesor Soriano
Sin duda una muy buena clase",BUENO,10.0,10.0,MASPI,10.0,15/Jul/2014
Excelente simplemente la mejor,BUENO,10.0,10.0,Derecho laboral,10.0,19/Ene/2015
Es fácil pasar con él sus tareas son sencillas y uno aprende más de sus experiencias de vida da buenos consejos aplicados en lo laboral Es recomendable la materia se aprueba de manera sencilla,BUENO,9.0,10.0,Opinión Pública y Propaganda,9.0,04/Ago/2017
"No sé porque da clasesNada dentro del temario tareas que ni al caso divaga en todo momento clases aburridas y lentaaaaasssssss
El profesor de laboratorio es bueno",REGULAR,6.0,10.0,Taller de Modelación,10.0,31/May/2017
Acoltzi da la parte teórica del curso su ayudante Marcos Bernal la de programación Acoltzi es poco claro parece que no preparaba las clases y faltando dos semanas para que acabara su curso decidió el método de evalución Las clases de Marcos fueron muy buenas,MALO,2.0,10.0,Taller de modelación numérica,9.0,25/Jul/2016
Tiene conocimientos sólidos en la materia que ha adquirido por su edad estudio y experiencia Gran clase el Prof domina todo tipo de conocimientos de todos los campos de la Administración 100 recomendable aprovechen la clase las expectativas de aprobar son absolutas,BUENO,10.0,10.0,Teoría de la Organización y la Administración,10.0,05/Jun/2023
Excelente profesor para administración sabe DEMASIADO un gran Doctor es muy amable las tareas son sencillas,BUENO,10.0,10.0,Administración,10.0,20/Jul/2020
Investigador comprometido con la comprensión y explicación de la materia,BUENO,8.0,8.0,Teoría de la Organización y la Administración,9.0,30/Dic/2019
"Lo bueno todos sacan 10
Lo malo jamás ni por error se desarrolla el temario filosofa en monólogos eternos se duerme en clase y durante las exposiciones
Es buena persona pero solo eso La clase es aburridísima",MALO,2.0,10.0,SEMINARIO DE DESARROLLO DE HABILIDADES DIRECTIVAS,10.0,14/Feb/2019
No se apega mucho al temario pues gasta tiempo filosofando pero pasas por que pasas Creo que ya está un poco avanzado en edad y eso le provoca que no se enfoque en la clase y puede llegar a dormirse,REGULAR,6.0,10.0,Teoría de la Admon. y la Organización,10.0,16/Ene/2019
Actualiza permanentemente la materia,BUENO,10.0,10.0,Teoria de la Administración y la Organización,10.0,14/Feb/2018
"Lo bueno pasas por que pasas es amigable educado en general creo que es buena persona
Lo malo no toco ni de forma remota o rápida ningún tema del temario habla 3 hrs de temas como subjetivismo objetividad constructos etc nunca toma en cuenta siquiera el temario",MALO,2.0,10.0,Seminario de Desarrollo de Habilidades Directivas,9.0,13/Jun/2017
De lo mejor de la Unidad de Posgrado,BUENO,10.0,10.0,Seminario,10.0,11/Ene/2017
Inteligente y tienes un 10 seguro,BUENO,10.0,10.0,Habilidades Directivas,10.0,05/Ene/2017
Magnifico profesor Es de esos que te hacen aprender y además obtienes muy buena calificación,BUENO,10.0,10.0,Habilidades,10.0,14/Dic/2016
"Es un excelente ser humano y por demás un profesor que te ayuda a que pienses y seas crítico
Recomiendo tomar esta clase vale la pena  es un sabio",BUENO,10.0,10.0,seminario de habilidades  directivas,9.0,01/Oct/2016
Sabe mucho el tipo pero no sabe o no quiere transmitir sus conocimiento de manera clara y ordenada Falta mucho por problemas de salud,REGULAR,6.0,6.0,Desarrollo de Habilidades Directivas,10.0,12/Ene/2011
Lastima del anonimato en que se escuda una lesbiana ignorada La maestra es excelente y buena persona,BUENO,10.0,6.0,Seguridad social,9.0,03/Feb/2012
Te explica la ley paso a paso y te pone ejemplos muy padres,BUENO,10.0,4.0,seguridad social,10.0,06/Abr/2011
Muy buena maestra ayuda mucho y es clara da muchos ejemplos y es accesible La mayoria de mi grupo sacó mas de 8 aveces si es medio barco pero se compensa con sus clases que son buenas Yo si aprendí y más porque sabe enseñar y más con las Ts de conta Si llegas tarde te hace llevar dulces,BUENO,8.0,8.0,Contabilidad general y costos,10.0,05/Ene/2017
clase aburrida se la pasa leyendo diapositivas que quiere que copies pero en cuanto termina de leerlas las cambia Pide un ensayo final el cual lo deja a inicios de semestre y va pidiendo avances lo quiere escrito como si fuera tesina de titulación jaja De verdad que es aburrida su clase Zzz,REGULAR,4.0,4.0,Formulación de proyectos,7.0,10/Sep/2014
Es muy bueno la clase es un poquito lenta pero es muy clara las clases duran como maximo 130 saque 10,BUENO,10.0,10.0,Extensión Universitaria II,10.0,01/Ago/2023
Es surrealista su clase no explica nada y sólo ella se entiende Puede ser ofensiva en sus comentarios,MALO,2.0,2.0,Semiótica,9.0,25/Sep/2017
A mi me apoyo mucho y me tuvo mucha paciencia claro que yo tambien puse mucho empeño,BUENO,8.0,8.0,Investigación,8.5,22/Oct/2013
EL GORDA ES BUENA ONDA SOLO HAY QUE LLEGARLE AL PRECIO,BUENO,10.0,8.0,COSTOS,3.0,03/Dic/2010
No es barco deja tareas hace examenes y deja proyecto final Tambien tienes que entregar actividades cada clase pero es facil sacar 910 si cumples con todo,BUENO,8.0,8.0,Mercadotecnia,10.0,25/Ene/2023
Es una buena clase en general Sabe mucho del tema y es clara al explicar Prepárate para trabajar todo el tiempo en equipo,BUENO,8.0,10.0,Mercadotecnia,9.0,02/Jul/2020
EXCELENTE PROFESORA ME GUSTO MUCHO SU CLASE APRENDÍ ES MUY AGRADABLE NO ES MANCHADA A LA HORA DE CALIFICAR MUUUYY RECOMENDABLE LO MEJOR QUE TIENE EL TURNO DE LA TARDE,BUENO,10.0,10.0,MERCADOTECNIA,10.0,23/Jun/2014
Muy buena profesorasu clase es muy dinámica si asistes de manera regular no tendrás problemas con el trabajo final ya que ella lo divide en tres entregas y te va asesorando para cada una de ellas sus exámenes son muy sencillos están hechos en base a lo que se ve en clase,BUENO,10.0,8.0,Mercadotecnia,10.0,14/Ene/2014
Es tu mamá Laura jajajaja,MALO,2.0,2.0,Proyectos,7.0,31/Jul/2013
"ES UNA PROFESORA QUE SE PREOCUPA PORQUE APRENDAS SUS CLASES SON EN BASE A DIAPOSITIVAS Y SI NO LEES LAS LECTURAS DE TAREA SOLO TE VAS A ABURRIR SUS TRABAJOS SON SENCILLOS Y LAS LECTURAS SON ACTUALIZADAS
100 RECOMENDABLE LA PROFESORA",BUENO,9.0,8.0,FORMULACION,8.0,29/Jul/2013
Es una maestra muy dinámica ya que ofrece enriquece su clase con dinámicas lecturas ejercicios en clase y si es necesario hacer tareas se aprende y si la recomiendo pero no para aquellos que solo desean pasar fácilmente,BUENO,8.0,8.0,Planeación financiera,9.5,24/Abr/2013
NO TIENE ORDEN ENSEÑO TANTAS COSAS QUE EN VERDAD NO SE COMO PONERLAS EN PRACTICA TALVEZ ESO DEPENDE DE MI PERO SU CLASE SE TORNA ABURRIDA DESPUES DE TRES CLASES PARECE MATERIA DE ADMINISTRACION O CONTADURIA Y NO TE REGALA LA CALIFICACION PERO SUS EXAMENES Y TAREAS SON FACILES SIMPLEMENTE SON SUS DIAPOSITIVAS Y SUS PRACTICAS EN COMPUTADORA SON DE LO MAS ABURRIDAS,REGULAR,6.0,10.0,EVALUA.FINANCIERA PROYECT,2.0,25/Dic/2012
Es buena persona tiene buenas intenciones y de ahí la agarran de barco quiso enseñar tanto que en concreto no vimos nada esta preparada y sabe pero como que debería de apegarse al programa de la materia y ver lo que se supone deberíamos de ver ahí se lo dejo de tarea maestra,BUENO,8.0,10.0,Proyectos I,7.5,04/Jun/2012
Le pague con cuerpo y no me paso lo peor es qe no me baja,BUENO,8.0,8.0,Cinematica,1.5,26/Dic/2017
"Debes tener la costumbre de leer saber a fondo de filosofía Para nada es un profesor que te resuma los temas debes saber por tanto investigar y conocer de cultura general
Puedes aprender mucho de él además de sus múltiples publicaciones y libros lo recominedo ampliamnete",BUENO,7.0,4.0,Ciencias Políticas,9.0,27/Nov/2012
muy puntual su evaluación es sencilla pero obvio debes entregar muy  buenos reportes de práctica,BUENO,10.0,4.0,oganica 4,8.0,23/Feb/2023
"El Dr Polindara es un excelente profesor explica 
 muy bien los aspectos teóricos de las prácticas y cualquier duda la resuelve lo más pronto posible Es un poco estricto al evaluar los informes pero realmente no son difíciles le agrada que expliques las cosas a detalle",BUENO,10.0,10.0,Química Orgánica IV (Laboratorio),10.0,08/Dic/2021
A la final del día fue un buen profesor lo recomiendo mucho,BUENO,9.0,10.0,Química orgánica 1,8.5,10/Oct/2017
Es un profesor dedicado siempre puntualdeja series antes del examencualquier duda el te explica aunque no termino el temario explico muy bien todo lo que vio en clase,BUENO,10.0,8.0,Orgánica 1(teoría),8.0,25/Ene/2017
La verdad la tomé por el hecho de que la recomendaban mucho pero sinceramente no la recomiendo Siento que era forzosamente inclusiva su clase y eso me hacía sentir incomoda o harta su clase es más para personas muy sociables y con el mismo pensamiento actual no te la recomiendo si eres introver,BUENO,7.0,6.0,Cultura y Comunicación,9.0,02/Ago/2023
Disfruté bastante cada una de sus clases la profe es muy joven y siempre tiene ideas padres su clase es bastante interactiva La neta aunque soy de ingeniería sus clases se me hicieron muy disfrutables Si entregas todas las tareas las cuales son muy sencillas sin problema sacas 9 o 10,BUENO,10.0,10.0,Cultura y comunicación,10.0,01/Ago/2022
Es una profesora MUY buena se preocupa por que entiendas de lo que va la clase y se preocupa realmente el que decide si quiere aprender eres TÚ porque así pongas atención o no pongas nada de atención puedes sacar una buena calificación fácilmente con solo entregar las tareas,BUENO,10.0,10.0,Cultura y comunicación,9.0,31/Jul/2022
Es una gran persona y profesora las clases son platicas muy interesantes no es una carga excesiva de trabajo,BUENO,10.0,10.0,Cultura y Comunicación,10.0,22/Jun/2022
Una excelente profesora todo muy claro No te vas a arrepentir de tomar clase con ella ,BUENO,10.0,10.0,Cultura y comunicación,10.0,13/Oct/2021
